entry_id,contest_id,contest_name,C,C,W,W,D,D,UTIL,UTIL,G,"","Instructions"
"3072953383","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","","1) Edit your lineup by inserting any player from this list into their appropriate position columns"
"3072953386","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"3072953389","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited"
"3072953391","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","","4) You can not use this form to create new entries"
"3072953393","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","",""
"3072953395","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
"3072953419","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-12262:Roman Josi,87247-12262,D,Roman,Roman Josi,Josi,18.930908203125,55,8800,NSH@SJ,NSH,SJ,,,,,,D/UTIL
"3072953421","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-12609:Zach Hyman,87247-12609,W,Zach,Zach Hyman,Hyman,17.99473598547149,57,8700,EDM@PIT,EDM,PIT,,,,,,W/UTIL
"3072953423","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-8553:Brian Elliott,87247-8553,G,Brian,Brian Elliott,Elliott,16.350000381469727,16,8700,BUF@TB,TB,BUF,,,,,,G
"3072953428","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-54565:Andrei Vasilevskiy,87247-54565,G,Andrei,Andrei Vasilevskiy,Vasilevskiy,20.223255246184593,43,8700,BUF@TB,TB,BUF,,,,,,G
"3072953431","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-14565:Mika Zibanejad,87247-14565,C,Mika,Mika Zibanejad,Zibanejad,17.24561403508772,57,8600,NYR@DET,NYR,DET,,,,,,C/UTIL
"3072953432","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-74064:Casey DeSmith,87247-74064,G,Casey,Casey DeSmith,DeSmith,13.759999593098959,30,8600,EDM@PIT,PIT,EDM,,,,,,G
"3072953434","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-66690:Timo Meier,87247-66690,W,Timo,Timo Meier,Meier,17.51929781729715,57,8600,NSH@SJ,SJ,NSH,DTD,Upper body,,,,W/UTIL
"3072953436","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-42868:Tristan Jarry,87247-42868,G,Tristan,Tristan Jarry,Jarry,19.440000406901042,30,8600,EDM@PIT,PIT,EDM,,,,,,G
"3072953437","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-8551:Erik Karlsson,87247-8551,D,Erik,Erik Karlsson,Karlsson,17.653448696794182,58,8500,NSH@SJ,SJ,NSH,,,,,,D/UTIL
"3072953439","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-8594:Sidney Crosby,87247-8594,C,Sidney,Sidney Crosby,Crosby,17.10892813546317,56,8500,EDM@PIT,PIT,EDM,,,,,,C/UTIL
"3072953442","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-84395:Kevin Lankinen,87247-84395,G,Kevin,Kevin Lankinen,Lankinen,15.300000190734863,16,8500,NSH@SJ,NSH,SJ,,,,,,G
"3072953443","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-8718:Alex Ovechkin,87247-8718,W,Alex,Alex Ovechkin,Ovechkin,17.766667118778937,54,8500,ANH@WSH,WSH,ANH,O,Personal,,,,W/UTIL
"3072953445","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-66411:Juuse Saros,87247-66411,G,Juuse,Juuse Saros,Saros,19.37142799014137,42,8500,NSH@SJ,NSH,SJ,,,,,,G
"3072953448","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-8612:Marc-Andre Fleury,87247-8612,G,Marc-Andre,Marc-Andre Fleury,Fleury,14.742857142857142,35,8400,MIN@CBJ,MIN,CBJ,,,,,,G
"3072953451","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-8655:Steven Stamkos,87247-8655,C,Steven,Steven Stamkos,Stamkos,16.848214285714285,56,8400,BUF@TB,TB,BUF,,,,,,C/UTIL
"3072953453","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-82752:Filip Gustavsson,87247-82752,G,Filip,Filip Gustavsson,Gustavsson,18.06896551724138,29,8400,MIN@CBJ,MIN,CBJ,,,,,,G
"3072953455","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-85132:Rasmus Dahlin,87247-85132,D,Rasmus,Rasmus Dahlin,Dahlin,17.603703251591437,54,8400,BUF@TB,BUF,TB,,,,,,D/UTIL
"3072953457","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-66744:MacKenzie Blackwood,87247-66744,G,MacKenzie,MacKenzie Blackwood,Blackwood,12.2,20,8300,LA@NJ,NJ,LA,DTD,Lower body,,,,G
"3072953459","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-58926:Brayden Point,87247-58926,C,Brayden,Brayden Point,Point,16.735714503696986,56,8300,BUF@TB,TB,BUF,,,,,,C/UTIL
"3072953460","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-58988:Vitek Vanecek,87247-58988,G,Vitek,Vitek Vanecek,Vanecek,17.68421052631579,38,8300,LA@NJ,NJ,LA,,,,,,G
"3072953462","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-14563:Ryan Nugent-Hopkins,87247-14563,W,Ryan,Ryan Nugent-Hopkins,Nugent-Hopkins,16.355171992860992,58,8200,EDM@PIT,EDM,PIT,,,,,,W/UTIL
"3072953463","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-8453:Jaroslav Halak,87247-8453,G,Jaroslav,Jaroslav Halak,Halak,13.431578786749588,19,8200,NYR@DET,NYR,DET,,,,,,G
"3072953466","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-104015:Igor Shesterkin,87247-104015,G,Igor,Igor Shesterkin,Shesterkin,17.8046505950218,43,8200,NYR@DET,NYR,DET,,,,,,G
"3072953468","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-73940:Jordan Kyrou,87247-73940,W,Jordan,Jordan Kyrou,Kyrou,16.396296748408563,54,8100,VAN@STL,STL,VAN,,,,,,W/UTIL
"3072953470","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-8412:Jonathan Quick,87247-8412,G,Jonathan,Jonathan Quick,Quick,9.522581038936492,31,8100,LA@NJ,LA,NJ,,,,,,G
"3072953472","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-54028:Pheonix Copley,87247-54028,G,Pheonix,Pheonix Copley,Copley,17.633333841959637,24,8100,LA@NJ,LA,NJ,,,,,,G
"3072953475","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-70168:Alex Tuch,87247-70168,W,Alex,Alex Tuch,Tuch,16.54909113103693,55,8000,BUF@TB,BUF,TB,,,,,,W/UTIL
"3072953477","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-14466:Darcy Kuemper,87247-14466,G,Darcy,Darcy Kuemper,Kuemper,16.214633848608994,41,7900,ANH@WSH,WSH,ANH,,,,,,G
"3072953480","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-68647:Charlie Lindgren,87247-68647,G,Charlie,Charlie Lindgren,Lindgren,14.246153611403246,26,7900,ANH@WSH,WSH,ANH,,,,,,G
"3072953482","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-82115:Stuart Skinner,87247-82115,G,Stuart,Stuart Skinner,Skinner,16.16470516429228,34,7800,EDM@PIT,EDM,PIT,,,,,,G
"3072953484","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-12619:Jack Campbell,87247-12619,G,Jack,Jack Campbell,Campbell,13.125,32,7800,EDM@PIT,EDM,PIT,,,,,,G
"3072953486","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-64100:Jack Eichel,87247-64100,C,Jack,Jack Eichel,Eichel,15.993182095614346,44,7800,CGY@VGK,VGK,CGY,,,,,,C/UTIL
"3072953488","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-15356:Dougie Hamilton,87247-15356,D,Dougie,Dougie Hamilton,Hamilton,16.49122807017544,57,7800,LA@NJ,NJ,LA,,,,,,D/UTIL
"3072953490","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-8292:Craig Anderson,87247-8292,G,Craig,Craig Anderson,Anderson,15.345454822887074,22,7700,BUF@TB,BUF,TB,,,,,,G
"3072953492","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-97029:Ukko-Pekka Luukkonen,87247-97029,G,Ukko-Pekka,Ukko-Pekka Luukkonen,Luukkonen,16.266666412353516,24,7700,BUF@TB,BUF,TB,,,,,,G
"3072953494","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-62788:Dylan Larkin,87247-62788,C,Dylan,Dylan Larkin,Larkin,15.645454545454545,55,7700,NYR@DET,DET,NYR,,,,,,C/UTIL
"3072953496","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-9015:John Carlson,87247-9015,D,John,John Carlson,Carlson,15.454838906565021,31,7600,ANH@WSH,WSH,ANH,IR,Face,,,,D/UTIL
"3072953498","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-70509:Ville Husso,87247-70509,G,Ville,Ville Husso,Husso,16.48372064634811,43,7600,NYR@DET,DET,NYR,,,,,,G
"3072953500","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-80991:Nico Hischier,87247-80991,C,Nico,Nico Hischier,Hischier,15.512500217982701,56,7600,LA@NJ,NJ,LA,,,,,,C/UTIL
"3072953502","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-42710:Magnus Hellberg,87247-42710,G,Magnus,Magnus Hellberg,Hellberg,10.461538461538462,13,7600,NYR@DET,DET,NYR,,,,,,G
"3072953504","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-59208:Kevin Fiala,87247-59208,W,Kevin,Kevin Fiala,Fiala,15.505172203327048,58,7600,LA@NJ,LA,NJ,,,,,,W/UTIL
"3072953506","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-103103:Elvis Merzlikins,87247-103103,G,Elvis,Elvis Merzlikins,Merzlikins,8.32,25,7500,MIN@CBJ,CBJ,MIN,,,,,,G
"3072953508","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-54065:Joonas Korpisalo,87247-54065,G,Joonas,Joonas Korpisalo,Korpisalo,16.414815266927082,27,7500,MIN@CBJ,CBJ,MIN,,,,,,G
"3072953510","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-97093:Logan Thompson,87247-97093,G,Logan,Logan Thompson,Thompson,18.35675708667652,37,7500,CGY@VGK,VGK,CGY,O,Lower body,,,,G
"3072953512","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-9092:Evander Kane,87247-9092,W,Evander,Evander Kane,Kane,14.574999491373697,24,7500,EDM@PIT,EDM,PIT,O,Upper body,,,,W/UTIL
"3072953514","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-15271:Laurent Brossoit,87247-15271,G,Laurent,Laurent Brossoit,Brossoit,21.600000381469727,1,7500,CGY@VGK,VGK,CGY,,,,,,G
"3072953515","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-11294:Michael Hutchinson,87247-11294,G,Michael,Michael Hutchinson,Hutchinson,2.4000000953674316,2,7500,CGY@VGK,VGK,CGY,,,,,,G
"3072953517","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-66612:Adin Hill,87247-66612,G,Adin,Adin Hill,Hill,14.461538461538462,26,7500,CGY@VGK,VGK,CGY,DTD,Undisclosed,,,,G
"3072953520","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-12253:Mats Zuccarello,87247-12253,W,Mats,Mats Zuccarello,Zuccarello,15.296363414417614,55,7500,MIN@CBJ,MIN,CBJ,,,,,,W/UTIL
"3072953523","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-12439:Jeff Skinner,87247-12439,W,Jeff,Jeff Skinner,Skinner,15.190385084885817,52,7400,BUF@TB,BUF,TB,,,,,,W/UTIL
"3072953525","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-39253:Filip Forsberg,87247-39253,W,Filip,Filip Forsberg,Forsberg,14.034000244140625,50,7400,NSH@SJ,NSH,SJ,DTD,Upper body,,,,W/UTIL
"3072953527","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-8595:Evgeni Malkin,87247-8595,C,Evgeni,Evgeni Malkin,Malkin,14.894642421177455,56,7400,EDM@PIT,PIT,EDM,,,,,,C/UTIL
"3072953530","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-8651:Alex Pietrangelo,87247-8651,D,Alex,Alex Pietrangelo,Pietrangelo,14.564582824707031,48,7400,CGY@VGK,VGK,CGY,,,,,,D/UTIL
"3072953533","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-73949:Joel Eriksson Ek,87247-73949,C,Joel,Joel Eriksson Ek,Eriksson Ek,14.422806589226974,57,7300,MIN@CBJ,MIN,CBJ,,,,,,C/UTIL
"3072953536","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-12628:Mark Stone,87247-12628,W,Mark,Mark Stone,Stone,13.9093017578125,43,7300,CGY@VGK,VGK,CGY,IR,Back,,,,W/UTIL
"3072953537","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-12697:Philipp Grubauer,87247-12697,G,Philipp,Philipp Grubauer,Grubauer,12.034782077955162,23,7300,BOS@SEA,SEA,BOS,,,,,,G
"3072953539","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-62493:Artemi Panarin,87247-62493,W,Artemi,Artemi Panarin,Panarin,14.91052674410636,57,7300,NYR@DET,NYR,DET,,,,,,W/UTIL
"3072953541","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-9278:Martin Jones,87247-9278,G,Martin,Martin Jones,Jones,14.821052952816611,38,7300,BOS@SEA,SEA,BOS,,,,,,G
"3072953545","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-103940:Adam Fox,87247-103940,D,Adam,Adam Fox,Fox,13.982456140350877,57,7300,NYR@DET,NYR,DET,,,,,,D/UTIL
"3072953547","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-43093:Shea Theodore,87247-43093,D,Shea,Shea Theodore,Theodore,13.559459789379224,37,7200,CGY@VGK,VGK,CGY,,,,,,D/UTIL
"3072953549","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-15251:Boone Jenner,87247-15251,C,Boone,Boone Jenner,Jenner,14.15652200450068,46,7200,MIN@CBJ,CBJ,MIN,,,,,,C/UTIL
"3072953551","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-70571:Jake Guentzel,87247-70571,W,Jake,Jake Guentzel,Guentzel,14.827778003833911,54,7200,EDM@PIT,PIT,EDM,,,,,,W/UTIL
"3072953553","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-66610:Dan Vladar,87247-66610,G,Dan,Dan Vladar,Vladar,13.947825556216033,23,7200,CGY@VGK,CGY,VGK,,,,,,G
"3072953555","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-54514:Johnny Gaudreau,87247-54514,W,Johnny,Johnny Gaudreau,Gaudreau,13.42545498934659,55,7200,MIN@CBJ,CBJ,MIN,DTD,Lower body,,,,W/UTIL
"3072953557","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-12283:Jacob Markstrom,87247-12283,G,Jacob,Jacob Markstrom,Markstrom,11.343589587089342,39,7200,CGY@VGK,CGY,VGK,,,,,,G
"3072953561","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-8633:Thomas Greiss,87247-8633,G,Thomas,Thomas Greiss,Greiss,12.799999660915798,18,7100,VAN@STL,STL,VAN,,,,,,G
"3072953563","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-101277:Quinn Hughes,87247-101277,D,Quinn,Quinn Hughes,Hughes,13.220754947302476,53,7100,VAN@STL,VAN,STL,,,,,,D/UTIL
"3072953564","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-15339:Jordan Binnington,87247-15339,G,Jordan,Jordan Binnington,Binnington,13.91304347826087,46,7100,VAN@STL,STL,VAN,,,,,,G
"3072953566","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-15360:J.T. Miller,87247-15360,C,J.T.,J.T. Miller,Miller,14.357895165158991,57,7100,VAN@STL,VAN,STL,,,,,,C/UTIL
"3072953568","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-70900:Patrik Laine,87247-70900,W,Patrik,Patrik Laine,Laine,14.569048200334821,42,7100,MIN@CBJ,CBJ,MIN,,,,,,W/UTIL
"3072953570","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-8763:Brad Marchand,87247-8763,W,Brad,Brad Marchand,Marchand,14.302040567203443,49,7000,BOS@SEA,BOS,SEA,,,,,,W/UTIL
"3072953572","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-97102:Lukas Dostal,87247-97102,G,Lukas,Lukas Dostal,Dostal,13.866667005750868,9,7000,ANH@WSH,ANH,WSH,,,,,,G
"3072953574","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-15268:John Gibson,87247-15268,G,John,John Gibson,Gibson,14.810255784254808,39,7000,ANH@WSH,ANH,WSH,,,,,,G
"3072953576","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-66601:Jake DeBrusk,87247-66601,W,Jake,Jake DeBrusk,DeBrusk,14.56842041015625,38,7000,BOS@SEA,BOS,SEA,,,,,,W/UTIL
"3072953578","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-70912:Charlie McAvoy,87247-70912,D,Charlie,Charlie McAvoy,McAvoy,13.395348837209303,43,7000,BOS@SEA,BOS,SEA,,,,,,D/UTIL
"3072953580","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-38243:Anthony Stolarz,87247-38243,G,Anthony,Anthony Stolarz,Stolarz,9.563636086203836,22,7000,ANH@WSH,ANH,WSH,O,Lower body,,,,G
"3072953582","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-8175:Patrice Bergeron,87247-8175,C,Patrice,Patrice Bergeron,Bergeron,13.95357186453683,56,7000,BOS@SEA,BOS,SEA,,,,,,C/UTIL
"3072953584","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-8394:Anze Kopitar,87247-8394,C,Anze,Anze Kopitar,Kopitar,13.658620900121228,58,6900,LA@NJ,LA,NJ,,,,,,C/UTIL
"3072953586","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-12624:Tyler Toffoli,87247-12624,W,Tyler,Tyler Toffoli,Toffoli,14.141379520810883,58,6900,CGY@VGK,CGY,VGK,,,,,,W/UTIL
"3072953589","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-84324:Kaapo Kahkonen,87247-84324,G,Kaapo,Kaapo Kahkonen,Kahkonen,10.577778003833911,27,6900,NSH@SJ,SJ,NSH,,,,,,G
"3072953591","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-80369:Jesper Bratt,87247-80369,W,Jesper,Jesper Bratt,Bratt,14.047368635211075,57,6900,LA@NJ,NJ,LA,,,,,,W/UTIL
"3072953593","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-9052:James Reimer,87247-9052,G,James,James Reimer,Reimer,13.493332926432291,30,6900,NSH@SJ,SJ,NSH,,,,,,G
"3072953595","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-70513:Pavel Buchnevich,87247-70513,W,Pavel,Pavel Buchnevich,Buchnevich,13.072092455486919,43,6900,VAN@STL,STL,VAN,DTD,Lower body,,,,W/UTIL
"3072953596","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-70907:Mikhail Sergachev,87247-70907,D,Mikhail,Mikhail Sergachev,Sergachev,12.881481029369214,54,6900,BUF@TB,TB,BUF,,,,,,D/UTIL
"3072953598","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-8669:Victor Hedman,87247-8669,D,Victor,Victor Hedman,Hedman,12.296296296296296,54,6800,BUF@TB,TB,BUF,,,,,,D/UTIL
"3072953599","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-113279:Dylan Cozens,87247-113279,C,Dylan,Dylan Cozens,Cozens,13.405556007667824,54,6800,BUF@TB,BUF,TB,,,,,,C/UTIL
"3072953600","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-62429:Adrian Kempe,87247-62429,W,Adrian,Adrian Kempe,Kempe,13.734482337688577,58,6800,LA@NJ,LA,NJ,,,,,,W/UTIL
"3072953602","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-21927:Chris Kreider,87247-21927,W,Chris,Chris Kreider,Kreider,13.425925925925926,54,6800,NYR@DET,NYR,DET,,,,,,W/UTIL
"3072953603","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-82001:Collin Delia,87247-82001,G,Collin,Collin Delia,Delia,10.986666870117187,15,6700,VAN@STL,VAN,STL,,,,,,G
"3072953605","87247-262981043","$800 Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","",87247-73894:Brandon Hagel,87247-73894,W,Brandon,Brandon Hagel,Hagel,13.228571210588727,56,6700,BUF@TB,TB,BUF,,,,,,W/UTIL
