entry_id,contest_id,contest_name,QB,RB,RB,WR,WR,WR,TE,FLEX,DEF,,Instructions,,,,,,,,,,,,,,,,,,,
2992948651,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-69531,84056-39280,84056-86055,84056-66008,84056-73048,84056-90576,84056-57299,84056-64496,84056-12552,,84056-85701:Ja'Marr Chase,84056-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,16.88571385,7,8900,KC@CIN,CIN,KC,4,Q,Hip,,,,WR/FLEX,
2992948652,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-63115,84056-104433,84056-39280,84056-25267,84056-71032,84056-85671,84056-57299,84056-103342,84056-12525,,84056-39280:Derrick Henry,84056-39280,RB,Derrick,Derrick Henry,Henry,18.84181768,11,8800,TEN@PHI,TEN,PHI,1,,,,,,RB/FLEX,
2992948655,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-53331,84056-40442,84056-54140,84056-41305,84056-45889,84056-56250,84056-60712,84056-29253,84056-12534,,84056-69531:Jalen Hurts,84056-69531,QB,Jalen,Jalen Hurts,Hurts,24.82727328,11,8800,TEN@PHI,PHI,TEN,1,,,,,,QB,
2992948657,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-45859,84056-80001,84056-90912,84056-45889,84056-55987,84056-88575,84056-57299,84056-40442,84056-12532,,84056-85671:Justin Jefferson,84056-85671,WR,Justin,Justin Jefferson,Jefferson,18.57818187,11,8700,NYJ@MIN,MIN,NYJ,1,,,,,,WR/FLEX,
2992948658,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-45859,84056-30733,84056-80001,84056-41305,84056-45889,84056-66008,84056-60712,84056-169776,84056-12534,,84056-45889:Davante Adams,84056-45889,WR,Davante,Davante Adams,Adams,17.75454573,11,8600,LAC@LV,LV,LAC,4,,,,,,WR/FLEX,
2992948659,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-57439,84056-80001,84056-90575,84056-40669,84056-83083,84056-89981,84056-70601,84056-30989,84056-12545,,84056-64401:Saquon Barkley,84056-64401,RB,Saquon,Saquon Barkley,Barkley,16.63636364,11,8600,WAS@NYG,NYG,WAS,1,,,,,,RB/FLEX,
2992948660,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-63336,84056-39280,84056-54140,84056-41305,84056-85671,84056-91426,84056-31207,84056-40669,84056-12537,,84056-52442:Joe Mixon,84056-52442,RB,Joe,Joe Mixon,Mixon,16.03999939,10,8500,KC@CIN,CIN,KC,4,Q,Concussion,,,,RB/FLEX,
2992948661,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-91591,84056-54140,84056-91598,84056-60858,84056-63819,84056-86997,84056-80353,84056-40442,84056-12548,,84056-91591:Justin Fields,84056-91591,QB,Justin,Justin Fields,Fields,21.37090926,11,8500,GB@CHI,CHI,GB,1,,,,,,QB,
2992948663,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-89951,84056-39280,84056-45631,84056-110246,84056-41305,84056-45889,84056-57299,84056-103252,84056-12527,,84056-33076:Travis Kelce,84056-33076,TE,Travis,Travis Kelce,Kelce,18.3818179,11,8400,KC@CIN,KC,CIN,4,,,,,,TE/FLEX,
2992948665,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-57439,84056-30733,84056-89956,84056-110246,84056-45889,84056-55987,84056-60712,84056-104433,84056-12534,,84056-63336:Joe Burrow,84056-63336,QB,Joe,Joe Burrow,Burrow,22.92727245,11,8300,KC@CIN,CIN,KC,4,,,,,,QB,
2992948666,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-57439,84056-104433,84056-39280,84056-89981,84056-90576,84056-93055,84056-39793,84056-55987,84056-12537,,84056-89981:Tee Higgins,84056-89981,WR,Tee,Tee Higgins,Higgins,13.51000061,10,8300,KC@CIN,CIN,KC,4,,,,,,WR/FLEX,
2992948667,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-89951,84056-103342,84056-91598,84056-53681,84056-64496,84056-72846,84056-41872,84056-110246,84056-12536,,84056-63115:Lamar Jackson,84056-63115,QB,Lamar,Lamar Jackson,Jackson,21.97636414,11,8200,DEN@BAL,BAL,DEN,1,,,,,,QB,
2992948668,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-92020,84056-54140,84056-80001,84056-53681,84056-90576,84056-91419,84056-80353,84056-110246,84056-12548,,84056-55050:Christian McCaffrey,84056-55050,RB,Christian,Christian McCaffrey,McCaffrey,16.51454579,11,8200,MIA@SF,SF,MIA,4,,,,,,RB/FLEX,
2992948669,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-92020,84056-30733,84056-55050,84056-40669,84056-85701,84056-89981,84056-86244,84056-40647,84056-12534,,84056-103342:Kenneth Walker III,84056-103342,RB,Kenneth,Kenneth Walker III,Walker III,13.63999939,10,8100,SEA@LAR,SEA,LAR,4,,,,,,RB/FLEX,
2992948670,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-92020,84056-52451,84056-73273,84056-45889,84056-56809,84056-90576,84056-57299,84056-39280,84056-12528,,84056-72846:A.J. Brown,84056-72846,WR,A.J.,A.J. Brown,Brown,13.41818237,11,8100,TEN@PHI,PHI,TEN,1,,,,,,WR/FLEX,
2992948671,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-92020,84056-40442,84056-80001,84056-40647,84056-62994,84056-85671,84056-52436,84056-34331,84056-12538,,84056-69189:Justin Herbert,84056-69189,QB,Justin,Justin Herbert,Herbert,18.17818243,11,8100,LAC@LV,LAC,LV,4,,,,,,QB,
2992948672,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-21948,84056-55050,84056-73273,84056-53681,84056-87418,84056-91419,84056-40126,84056-40442,84056-12540,,84056-86997:Amon-Ra St. Brown,84056-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,13.61999969,10,8000,JAC@DET,DET,JAC,1,,,,,,WR/FLEX,
2992948673,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-22038,84056-55050,84056-73273,84056-53681,84056-60858,84056-83083,84056-71706,84056-34331,84056-12537,,84056-54879:Deshaun Watson,84056-54879,QB,Deshaun,Deshaun Watson,Watson,,,8000,CLE@HOU,CLE,HOU,1,,,,,,QB,
2992948674,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-57439,84056-40442,84056-55050,84056-40647,84056-71032,84056-85701,84056-57299,84056-104433,84056-12552,,84056-89956:Travis Etienne Jr.,84056-89956,RB,Travis,Travis Etienne Jr.,Etienne Jr.,11.63636364,11,8000,JAC@DET,JAC,DET,1,,,,,,RB/FLEX,
2992948675,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-69531,84056-39280,84056-90575,84056-64389,84056-85671,84056-90576,84056-80353,84056-40647,84056-12538,,84056-90573:Jaylen Waddle,84056-90573,WR,Jaylen,Jaylen Waddle,Waddle,14.54545455,11,7900,MIA@SF,MIA,SF,4,,,,,,WR/FLEX,
2992948676,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-92020,84056-45631,84056-90933,84056-112745,84056-45889,84056-90576,84056-86244,84056-39280,84056-12532,,84056-31001:Amari Cooper,84056-31001,WR,Amari,Amari Cooper,Cooper,13.51818154,11,7800,CLE@HOU,CLE,HOU,1,,,,,,WR/FLEX,
2992948679,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-26483,84056-54140,84056-89230,84056-53681,84056-56250,84056-73048,84056-71705,84056-110246,84056-12537,,84056-90572:Tua Tagovailoa,84056-90572,QB,Tua,Tua Tagovailoa,Tagovailoa,19.89555528,9,7800,MIA@SF,MIA,SF,4,,,,,,QB,
2992948680,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-69531,84056-80001,84056-89956,84056-56809,84056-72846,84056-88575,84056-40126,84056-104433,84056-12548,,84056-29253:Keenan Allen,84056-29253,WR,Keenan,Keenan Allen,Allen,8.5,4,7700,LAC@LV,LAC,LV,4,,,,,,WR/FLEX,
2992948683,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-69531,84056-73273,84056-80001,84056-110259,84056-72846,84056-83083,84056-80353,84056-45631,84056-12532,,84056-54140:Dalvin Cook,84056-54140,RB,Dalvin,Dalvin Cook,Cook,13.91818237,11,7600,NYJ@MIN,MIN,NYJ,1,,,,,,RB/FLEX,
2992948684,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-54604,84056-55552,84056-63050,84056-53681,84056-66008,84056-87418,84056-39793,84056-54140,84056-12555,,84056-73048:DK Metcalf,84056-73048,WR,DK,DK Metcalf,Metcalf,10.59999986,11,7600,SEA@LAR,SEA,LAR,4,,,,,,WR/FLEX,
2992948685,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-26483,84056-55050,84056-86055,84056-53681,84056-56250,84056-63819,84056-80353,84056-27050,84056-12548,,84056-26483:Geno Smith,84056-26483,QB,Geno,Geno Smith,Smith,18.82545471,11,7600,SEA@LAR,SEA,LAR,4,,,,,,QB,
2992948686,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-69531,84056-52808,84056-54140,84056-29253,84056-45889,84056-90573,84056-69451,84056-103564,84056-12528,,84056-45631:Jamaal Williams,84056-45631,RB,Jamaal,Jamaal Williams,Williams,14.50909146,11,7500,JAC@DET,DET,JAC,1,,,,,,RB/FLEX,
2992948687,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-21948,84056-71845,84056-80001,84056-110246,84056-45889,84056-56250,84056-88297,84056-104433,84056-12540,,84056-60858:Christian Kirk,84056-60858,WR,Christian,Christian Kirk,Kirk,12.83636336,11,7500,JAC@DET,JAC,DET,1,,,,,,WR/FLEX,
2992948690,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-91591,84056-39280,84056-93107,84056-41305,84056-45889,84056-66008,84056-91047,84056-39716,84056-12528,,84056-89951:Trevor Lawrence,84056-89951,QB,Trevor,Trevor Lawrence,Lawrence,17.46363692,11,7500,JAC@DET,JAC,DET,1,,,,,,QB,
2992948691,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-53095,84056-39280,84056-90575,84056-85671,84056-90576,84056-91419,84056-57299,84056-31001,84056-12528,,84056-27050:Tyler Lockett,84056-27050,WR,Tyler,Tyler Lockett,Lockett,11.93636391,11,7400,SEA@LAR,SEA,LAR,4,,,,,,WR/FLEX,
2992948693,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-63336,84056-54140,84056-86055,84056-55987,84056-64496,84056-89981,84056-41872,84056-53681,84056-12537,,84056-40442:Aaron Jones,84056-40442,RB,Aaron,Aaron Jones,Jones,14.16666667,12,7400,GB@CHI,GB,CHI,1,,,,,,RB/FLEX,
2992948694,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-40534,84056-54140,84056-89230,84056-41305,84056-56250,84056-85671,84056-60451,84056-29253,84056-12555,,84056-22038:Kirk Cousins,84056-22038,QB,Kirk,Kirk Cousins,Cousins,16.93636391,11,7400,NYJ@MIN,MIN,NYJ,1,,,,,,QB,
2992948695,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-92020,84056-39280,84056-65724,84056-41305,84056-85671,84056-87418,84056-86244,84056-40647,84056-12555,,84056-90575:Najee Harris,84056-90575,RB,Najee,Najee Harris,Harris,11.03272733,11,7300,PIT@ATL,PIT,ATL,1,,,,,,RB/FLEX,
2992948696,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-69189,84056-104433,84056-64401,84056-41305,84056-45889,84056-56250,84056-31207,84056-29253,84056-12556,,84056-45859:Derek Carr,84056-45859,QB,Derek,Derek Carr,Carr,16.53636308,11,7300,LAC@LV,LV,LAC,4,,,,,,QB,
2992948697,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-92020,84056-103342,84056-40442,84056-64496,84056-66008,84056-85671,84056-60712,84056-56250,84056-12555,,84056-63519:Daniel Jones,84056-63519,QB,Daniel,Daniel Jones,Jones,17.24545427,11,7200,WAS@NYG,NYG,WAS,1,,,,,,QB,
2992948699,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-22015,84056-55050,84056-90933,84056-53681,84056-61042,84056-90576,84056-52436,84056-40442,84056-12548,,84056-57403:Courtland Sutton,84056-57403,WR,Courtland,Courtland Sutton,Sutton,9.209091187,11,7200,DEN@BAL,DEN,BAL,1,,,,,,WR/FLEX,
2992948700,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-69189,84056-34331,84056-90575,84056-41305,84056-45889,84056-85798,84056-57299,84056-103342,84056-12528,,84056-71845:Miles Sanders,84056-71845,RB,Miles,Miles Sanders,Sanders,13.77272727,11,7200,TEN@PHI,PHI,TEN,1,,,,,,RB/FLEX,
2992948702,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-91591,84056-40442,84056-55050,84056-52613,84056-53681,84056-85798,84056-91047,84056-30989,84056-12548,,84056-6894:Aaron Rodgers,84056-6894,QB,Aaron,Aaron Rodgers,Rodgers,15.21500015,12,7100,GB@CHI,GB,CHI,1,,,,,,QB,
2992948703,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-57439,84056-40442,84056-55050,84056-45889,84056-60858,84056-83083,84056-88297,84056-104433,84056-12544,,84056-52436:Mark Andrews,84056-52436,TE,Mark,Mark Andrews,Andrews,11.88000031,10,7100,DEN@BAL,BAL,DEN,1,,,,,,TE/FLEX,
2992948704,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-57439,84056-55050,84056-93107,84056-64496,84056-64841,84056-85671,84056-33076,84056-54608,84056-12548,,84056-52451:Samaje Perine,84056-52451,RB,Samaje,Samaje Perine,Perine,7.854545593,11,7100,KC@CIN,CIN,KC,4,,,,,,RB/FLEX,
2992948705,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-45859,84056-63050,84056-91598,84056-29253,84056-45889,84056-87418,84056-71706,84056-55050,84056-12528,,84056-92575:Isiah Pacheco,84056-92575,RB,Isiah,Isiah Pacheco,Pacheco,5.5,11,7000,KC@CIN,KC,CIN,4,,,,,,RB/FLEX,
2992948706,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-57439,84056-45631,84056-55050,84056-40669,84056-83083,84056-89981,84056-86244,84056-30733,84056-12532,,84056-39829:Mike Williams,84056-39829,WR,Mike,Mike Williams,Williams,11,8,7000,LAC@LV,LAC,LV,4,O,Ankle,,,,WR/FLEX,
2992948707,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-57439,84056-104433,84056-45631,84056-40647,84056-53681,84056-85798,84056-71705,84056-103342,84056-12548,,84056-54604:Jimmy Garoppolo,84056-54604,QB,Jimmy,Jimmy Garoppolo,Garoppolo,16.65399933,10,7000,MIA@SF,SF,MIA,4,,,,,,QB,
2992948709,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-40534,84056-112057,84056-54140,84056-56250,84056-85671,84056-89981,84056-31207,84056-45889,84056-12532,,84056-73273:David Montgomery,84056-73273,RB,David,David Montgomery,Montgomery,9.845454823,11,7000,GB@CHI,CHI,GB,1,,,,,,RB/FLEX,
2992948710,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-92020,84056-54140,84056-89956,84056-53681,84056-70422,84056-73048,84056-86244,84056-30733,84056-12548,,84056-55987:JuJu Smith-Schuster,84056-55987,WR,JuJu,JuJu Smith-Schuster,Smith-Schuster,9.980000305,10,6900,KC@CIN,KC,CIN,4,,,,,,WR/FLEX,
2992948711,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-92020,84056-34331,84056-80001,84056-56250,84056-73048,84056-85671,84056-86244,84056-104433,84056-12528,,84056-93107:AJ Dillon,84056-93107,RB,AJ,AJ Dillon,Dillon,7.366666794,12,6900,GB@CHI,GB,CHI,1,,,,,,RB/FLEX,
2992948713,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-57439,84056-40442,84056-55050,84056-31001,84056-52917,84056-6739,84056-33076,84056-103252,84056-12537,,84056-56250:Terry McLaurin,84056-56250,WR,Terry,Terry McLaurin,McLaurin,10.39166641,12,6900,WAS@NYG,WAS,NYG,1,,,,,,WR/FLEX,
2992948714,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-57439,84056-104433,84056-52451,84056-53681,84056-55987,84056-56809,84056-70601,84056-103342,84056-12537,,84056-40534:Mike White,84056-40534,QB,Mike,Mike White,White,24.79999924,1,6900,NYJ@MIN,NYJ,MIN,1,,,,,,QB,
2992948715,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-69531,84056-55050,84056-89230,84056-40669,84056-45889,84056-90576,84056-88297,84056-27050,84056-12528,,84056-55552:Jeff Wilson Jr.,84056-55552,RB,Jeff,Jeff Wilson Jr.,Wilson Jr.,10.59999986,11,6800,MIA@SF,MIA,SF,4,,,,,,RB/FLEX,
2992948716,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-89951,84056-34331,84056-39280,84056-45439,84056-85671,84056-90576,84056-71706,84056-41305,84056-12538,,84056-90576:DeVonta Smith,84056-90576,WR,DeVonta,DeVonta Smith,Smith,9.536363775,11,6800,TEN@PHI,PHI,TEN,1,,,,,,WR/FLEX,
2992948717,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-92020,84056-39280,84056-40442,84056-40669,84056-85671,84056-86997,84056-86244,84056-25813,84056-12537,,84056-29358:Marcus Mariota,84056-29358,QB,Marcus,Marcus Mariota,Mariota,16.18166606,12,6800,PIT@ATL,ATL,PIT,1,,,,,,QB,
2992948718,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-57439,84056-52451,84056-73273,84056-114180,84056-27050,84056-33047,84056-33076,84056-40442,84056-12534,,84056-56018:Deebo Samuel,84056-56018,WR,Deebo,Deebo Samuel,Samuel,11.53000031,10,6800,MIA@SF,SF,MIA,4,Q,Quadriceps,,,,WR/FLEX,
2992948719,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-89951,84056-73273,84056-80001,84056-41305,84056-45889,84056-90576,84056-26355,84056-34331,84056-12528,,84056-38435:Jared Goff,84056-38435,QB,Jared,Jared Goff,Goff,15.58909052,11,6800,JAC@DET,DET,JAC,1,,,,,,QB,
2992948720,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-69531,84056-39280,84056-70383,84056-60858,84056-85671,84056-90576,84056-80353,84056-45439,84056-12536,,84056-40167:Gus Edwards,84056-40167,RB,Gus,Gus Edwards,Edwards,11.43333308,3,6700,DEN@BAL,BAL,DEN,1,,,,,,RB/FLEX,
2992948721,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-69531,84056-90562,84056-91598,84056-45439,84056-85671,84056-90576,84056-80353,84056-39280,84056-12548,,84056-110246:George Pickens,84056-110246,WR,George,George Pickens,Pickens,8.309091048,11,6700,PIT@ATL,PIT,ATL,1,,,,,,WR/FLEX,
2992948722,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-92020,84056-34331,84056-54140,84056-103564,84056-45889,84056-56250,84056-86244,84056-103342,84056-12528,,84056-85798:Brandon Aiyuk,84056-85798,WR,Brandon,Brandon Aiyuk,Aiyuk,11.40000014,11,6700,MIA@SF,SF,MIA,4,,,,,,WR/FLEX,
2992948723,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-53095,84056-39280,84056-55050,84056-53681,84056-64496,84056-85671,84056-57338,84056-45439,84056-12528,,84056-92020:Kenny Pickett,84056-92020,QB,Kenny,Kenny Pickett,Pickett,13.1875,8,6700,PIT@ATL,PIT,ATL,1,,,,,,QB,
2992948724,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-69531,84056-54140,84056-55050,84056-56250,84056-64389,84056-85671,84056-57299,84056-103252,84056-12528,,84056-90562:Brian Robinson Jr.,84056-90562,RB,Brian,Brian Robinson Jr.,Robinson Jr.,8.800000191,8,6600,WAS@NYG,WAS,NYG,1,,,,,,RB/FLEX,
2992948725,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-69531,84056-40167,84056-54140,84056-41305,84056-86997,84056-90576,84056-70601,84056-103564,84056-12549,,84056-103564:Garrett Wilson,84056-103564,WR,Garrett,Garrett Wilson,Wilson,10.15454518,11,6600,NYJ@MIN,NYJ,MIN,1,,,,,,WR/FLEX,
2992948726,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-69531,84056-40442,84056-80001,84056-45889,84056-61593,84056-79979,84056-57299,84056-34331,84056-12528,,84056-87418:Joshua Palmer,84056-87418,WR,Joshua,Joshua Palmer,Palmer,9.859999847,10,6600,LAC@LV,LAC,LV,4,,,,,,WR/FLEX,
2992948730,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-57439,84056-73273,84056-89956,84056-55987,84056-64496,84056-85701,84056-71705,84056-39716,84056-12537,,84056-21948:Ryan Tannehill,84056-21948,QB,Ryan,Ryan Tannehill,Tannehill,13.74888865,9,6600,TEN@PHI,TEN,PHI,1,,,,,,QB,
2992948732,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-57439,84056-70889,84056-72731,84056-40669,84056-53681,84056-56018,84056-64031,84056-40647,84056-12534,,84056-86055:Dameon Pierce,84056-86055,RB,Dameon,Dameon Pierce,Pierce,11.69090965,11,6500,CLE@HOU,HOU,CLE,1,,,,,,RB/FLEX,
2992948733,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-54604,84056-53562,84056-55552,84056-45889,84056-85798,84056-91419,84056-80353,84056-40442,84056-12528,,84056-53331:Taylor Heinicke,84056-53331,QB,Taylor,Taylor Heinicke,Heinicke,13.3100001,6,6500,WAS@NYG,WAS,NYG,1,,,,,,QB,
2992948735,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-63115,84056-40442,84056-55050,84056-53681,84056-61042,84056-6739,84056-52436,84056-34331,84056-12548,,84056-65724:JaMycal Hasty,84056-65724,RB,JaMycal,JaMycal Hasty,Hasty,4.333333333,9,6500,JAC@DET,JAC,DET,1,,,,,,RB/FLEX,
2992948736,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-45859,84056-55050,84056-73273,84056-41305,84056-45889,84056-87418,84056-41872,84056-45631,84056-12534,,84056-90561:Jerry Jeudy,84056-90561,WR,Jerry,Jerry Jeudy,Jeudy,8.666666667,9,6500,DEN@BAL,DEN,BAL,1,,,,,,WR/FLEX,
2992948737,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-38435,84056-30733,84056-54140,84056-56250,84056-60858,84056-86997,84056-86244,84056-40669,84056-12555,,84056-66008:Diontae Johnson,84056-66008,WR,Diontae,Diontae Johnson,Johnson,7.527273005,11,6500,PIT@ATL,PIT,ATL,1,,,,,,WR/FLEX,
2992948738,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-63336,84056-73273,84056-89956,84056-40669,84056-45439,84056-55987,84056-52436,84056-40442,84056-12538,,84056-70324:Carson Wentz,84056-70324,QB,Carson,Carson Wentz,Wentz,17.24333318,6,6500,WAS@NYG,WAS,NYG,1,IR,Finger,,,,QB,
2992948740,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-63336,84056-55050,84056-86055,84056-40647,84056-55987,84056-85701,84056-39793,84056-104433,84056-12532,,84056-22015:Russell Wilson,84056-22015,QB,Russell,Russell Wilson,Wilson,14.00599976,10,6500,DEN@BAL,DEN,BAL,1,,,,,,QB,
2992948742,84056-260886927,$25K Sun NFL Pooch Punt (150 Entries Max),84056-57439,84056-40442,84056-55050,84056-63819,84056-66008,84056-85701,84056-88297,84056-40647,84056-12548,,84056-169776:Christian Watson,84056-169776,WR,Christian,Christian Watson,Watson,10.05555556,9,6500,GB@CHI,GB,CHI,1,,,,,,WR/FLEX,
