entry_id,contest_id,contest_name,QB,RB,RB,WR,WR,WR,TE,FLEX,DEF,,Instructions,,,,,,,,,,,,,,,,,,
2999102723,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-22038,84373-63759,84373-86055,84373-40669,84373-52917,84373-85671,84373-88297,84373-39280,84373-12547,,84373-62239:Josh Allen,84373-62239,QB,Josh,Josh Allen,Allen,25.44499969,12,8700,NYJ@BUF,BUF,NYJ,1,,,,,,QB
2999102725,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-62239,84373-55830,84373-86055,84373-22103,84373-63043,84373-86631,84373-64585,84373-39280,84373-12529,,84373-54140:Dalvin Cook,84373-54140,RB,Dalvin,Dalvin Cook,Cook,14.03333282,12,8700,MIN@DET,MIN,DET,1,,,,,,RB/FLEX
2999102727,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-54879,84373-54140,84373-91626,84373-40669,84373-85701,84373-91426,84373-52436,84373-40167,84373-12536,,84373-69531:Jalen Hurts,84373-69531,QB,Jalen,Jalen Hurts,Hurts,25.625,12,8700,PHI@NYG,PHI,NYG,1,,,,,,QB
2999102730,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-69531,84373-137902,84373-64401,84373-85671,84373-85798,84373-90576,84373-40126,84373-25813,84373-12529,,84373-86997:Amon-Ra St. Brown,84373-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,15.027273,11,8600,MIN@DET,DET,MIN,1,,,,,,WR/FLEX
2999102732,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-38435,84373-55050,84373-86055,84373-32384,84373-39716,84373-85671,84373-91046,84373-103564,84373-12529,,84373-52442:Joe Mixon,84373-52442,RB,Joe,Joe Mixon,Mixon,16.03999939,10,8500,CLE@CIN,CIN,CLE,1,,,,,,RB/FLEX
2999102733,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-70051,84373-137902,84373-52922,84373-56018,84373-85701,84373-91426,84373-71706,84373-110246,84373-12545,,84373-25079:Stefon Diggs,84373-25079,WR,Stefon,Stefon Diggs,Diggs,18.80833308,12,8500,NYJ@BUF,BUF,NYJ,1,,,,,,WR/FLEX
2999102735,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-54879,84373-54140,84373-90575,84373-45439,84373-52917,84373-85701,84373-40126,84373-31001,84373-12530,,84373-55050:Christian McCaffrey,84373-55050,RB,Christian,Christian McCaffrey,McCaffrey,17.18833288,12,8500,TB@SF,SF,TB,4,,,,,,RB/FLEX
2999102737,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-69531,84373-38791,84373-39280,84373-53498,84373-73687,84373-85671,84373-91931,84373-25813,84373-12547,,84373-72846:A.J. Brown,84373-72846,WR,A.J.,A.J. Brown,Brown,14.625,12,8400,PHI@NYG,PHI,NYG,1,,,,,,WR/FLEX
2999102738,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-26483,84373-55830,84373-86055,84373-56018,84373-63855,84373-86631,84373-71705,84373-39280,84373-12555,,84373-53562:Nick Chubb,84373-53562,RB,Nick,Nick Chubb,Chubb,17.30000051,12,8400,CLE@CIN,CLE,CIN,1,,,,,,RB/FLEX
2999102741,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-63336,84373-90912,84373-91598,84373-55987,84373-85701,84373-94534,84373-71706,84373-31001,84373-12547,,84373-63336:Joe Burrow,84373-63336,QB,Joe,Joe Burrow,Burrow,23.51999919,12,8300,CLE@CIN,CIN,CLE,1,,,,,,QB
2999102743,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-63336,84373-64401,84373-91626,84373-31001,84373-85701,84373-91426,84373-71706,84373-55165,84373-12547,,84373-86631:CeeDee Lamb,84373-86631,WR,CeeDee,CeeDee Lamb,Lamb,13.99166616,12,8200,HOU@DAL,DAL,HOU,1,,,,,,WR/FLEX
2999102746,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-62239,84373-39280,84373-71845,84373-40647,84373-86631,84373-94534,84373-91931,84373-103252,84373-12529,,84373-64401:Saquon Barkley,84373-64401,RB,Saquon,Saquon Barkley,Barkley,16.63333384,12,8200,PHI@NYG,NYG,PHI,1,Q,Neck,,,,RB/FLEX
2999102747,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-62239,84373-38791,84373-39280,84373-66008,84373-91426,84373-94534,84373-86811,84373-27050,84373-12532,,84373-33076:Travis Kelce,84373-33076,TE,Travis,Travis Kelce,Kelce,17.31666692,12,8000,KC@DEN,KC,DEN,4,,,,,,TE/FLEX
2999102750,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-26483,84373-54140,84373-63759,84373-39716,84373-40669,84373-63043,84373-91931,84373-27050,84373-12547,,84373-63115:Lamar Jackson,84373-63115,QB,Lamar,Lamar Jackson,Jackson,20.25666682,12,8000,BAL@PIT,BAL,PIT,1,D,Knee - pcl,,,,QB
2999102752,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-92020,84373-91598,84373-91626,84373-69956,84373-85671,84373-86997,84373-86244,84373-71706,84373-12551,,84373-38791:Ezekiel Elliott,84373-38791,RB,Ezekiel,Ezekiel Elliott,Elliott,12.43000031,10,8000,HOU@DAL,DAL,HOU,1,,,,,,RB/FLEX
2999102753,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-62239,84373-55050,84373-71845,84373-63043,84373-72846,84373-94534,84373-40126,84373-34331,84373-12532,,84373-31716:Dak Prescott,84373-31716,QB,Dak,Dak Prescott,Prescott,17.23142896,7,8000,HOU@DAL,DAL,HOU,1,,,,,,QB
2999102754,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-22015,84373-39280,84373-89956,84373-86997,84373-91426,84373-94534,84373-91931,84373-39716,84373-12550,,84373-73048:DK Metcalf,84373-73048,WR,DK,DK Metcalf,Metcalf,11.60833359,12,7900,CAR@SEA,SEA,CAR,4,Q,Hip,,,,WR/FLEX
2999102755,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-69531,84373-137902,84373-52442,84373-63819,84373-86631,84373-90576,84373-88297,84373-55987,84373-12532,,84373-52451:Samaje Perine,84373-52451,RB,Samaje,Samaje Perine,Perine,8.741666794,12,7800,CLE@CIN,CIN,CLE,1,,,,,,RB/FLEX
2999102759,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-62239,84373-64401,84373-86055,84373-73687,84373-86631,84373-94534,84373-71706,84373-55830,84373-12529,,84373-89981:Tee Higgins,84373-89981,WR,Tee,Tee Higgins,Higgins,13.28181874,11,7800,CLE@CIN,CIN,CLE,1,,,,,,WR/FLEX
2999102760,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-22038,84373-39280,84373-90575,84373-39716,84373-41305,84373-52917,84373-91931,84373-25079,84373-12528,,84373-27050:Tyler Lockett,84373-27050,WR,Tyler,Tyler Lockett,Lockett,12.88333384,12,7700,CAR@SEA,SEA,CAR,4,,,,,,WR/FLEX
2999102762,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-62239,84373-55050,84373-86055,84373-55987,84373-73048,84373-94534,84373-91931,84373-39716,84373-12547,,84373-26483:Geno Smith,84373-26483,QB,Geno,Geno Smith,Smith,19.2549998,12,7700,CAR@SEA,SEA,CAR,4,,,,,,QB
2999102765,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-62239,84373-39280,84373-71845,84373-29685,84373-33047,84373-63043,84373-60451,84373-25079,84373-12547,,84373-60858:Christian Kirk,84373-60858,WR,Christian,Christian Kirk,Kirk,12.88333384,12,7600,JAC@TEN,JAC,TEN,1,,,,,,WR/FLEX
2999102766,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-63336,84373-39280,84373-45229,84373-89981,84373-90561,84373-91426,84373-64585,84373-25079,84373-12532,,84373-103342:Kenneth Walker III,84373-103342,RB,Kenneth,Kenneth Walker III,Walker III,12.72727273,11,7600,CAR@SEA,SEA,CAR,4,Q,Ankle,,,,RB/FLEX
2999102767,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-22038,84373-73121,84373-91598,84373-45439,84373-89981,84373-90576,84373-71706,84373-39280,84373-12547,,84373-63759:Tony Pollard,84373-63759,RB,Tony,Tony Pollard,Pollard,15.30000051,12,7500,HOU@DAL,DAL,HOU,1,,,,,,RB/FLEX
2999102768,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-22038,84373-52922,84373-91598,84373-40647,84373-85798,84373-86997,84373-71706,84373-32384,84373-12547,,84373-55635:Chris Godwin,84373-55635,WR,Chris,Chris Godwin,Godwin,11.13000031,10,7500,TB@SF,TB,SF,4,,,,,,WR/FLEX
2999102769,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-62239,84373-34331,84373-39280,84373-103564,84373-53639,84373-56248,84373-33076,84373-137902,84373-12529,,84373-22038:Kirk Cousins,84373-22038,QB,Kirk,Kirk Cousins,Cousins,16.50999959,12,7500,MIN@DET,MIN,DET,1,,,,,,QB
2999102770,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-54879,84373-39280,84373-52442,84373-55987,84373-86631,84373-94534,84373-55335,84373-45439,84373-12532,,84373-89956:Travis Etienne Jr.,84373-89956,RB,Travis,Travis Etienne Jr.,Etienne Jr.,11.17500051,12,7400,JAC@TEN,JAC,TEN,1,,,,,,RB/FLEX
2999102771,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-57439,84373-39280,84373-53562,84373-55987,84373-61042,84373-90576,84373-71705,84373-40669,84373-12547,,84373-31001:Amari Cooper,84373-31001,WR,Amari,Amari Cooper,Cooper,12.89166641,12,7300,CLE@CIN,CLE,CIN,1,Q,Hip,,,,WR/FLEX
2999102773,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-69531,84373-86055,84373-91598,84373-39716,84373-64389,84373-86631,84373-91931,84373-54140,84373-12529,,84373-92575:Isiah Pacheco,84373-92575,RB,Isiah,Isiah Pacheco,Pacheco,6.308333079,12,7300,KC@DEN,KC,DEN,4,,,,,,RB/FLEX
2999102776,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-69531,84373-40167,84373-64401,84373-73048,84373-90576,84373-91426,84373-91931,84373-63819,84373-12534,,84373-103564:Garrett Wilson,84373-103564,WR,Garrett,Garrett Wilson,Wilson,10.99166616,12,7200,NYJ@BUF,NYJ,BUF,1,,,,,,WR/FLEX
2999102777,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-69531,84373-54140,84373-72776,84373-73687,84373-85671,84373-94534,84373-86244,84373-71706,84373-12540,,84373-91598:D'Andre Swift,84373-91598,RB,D'Andre,D'Andre Swift,Swift,12.32222239,9,7200,MIN@DET,DET,MIN,1,,,,,,RB/FLEX
2999102779,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-62239,84373-52442,84373-92575,84373-40669,84373-85701,84373-94534,84373-86244,84373-25813,84373-12547,,84373-89951:Trevor Lawrence,84373-89951,QB,Trevor,Trevor Lawrence,Lawrence,17.37166723,12,7200,JAC@TEN,JAC,TEN,1,Q,Toe,,,,QB
2999102780,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-22038,84373-86055,84373-91598,84373-45439,84373-69956,84373-86631,84373-71706,84373-52442,84373-12551,,84373-71845:Miles Sanders,84373-71845,RB,Miles,Miles Sanders,Sanders,13.52500025,12,7100,PHI@NYG,PHI,NYG,1,,,,,,RB/FLEX
2999102782,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-69531,84373-86055,84373-91598,84373-39716,84373-85671,84373-90576,84373-91931,84373-40167,84373-12529,,84373-6498:Tom Brady,84373-6498,QB,Tom,Tom Brady,Brady,15.96500015,12,7100,TB@SF,TB,SF,4,,,,,,QB
2999102783,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-21948,84373-55050,84373-89956,84373-52917,84373-89981,84373-91426,84373-88297,84373-27050,84373-12530,,84373-38435:Jared Goff,84373-38435,QB,Jared,Jared Goff,Goff,16.09000015,12,7100,MIN@DET,DET,MIN,1,,,,,,QB
2999102785,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-62239,84373-53562,84373-90575,84373-85701,84373-90561,84373-94534,84373-88297,84373-34331,84373-12547,,84373-56018:Deebo Samuel,84373-56018,WR,Deebo,Deebo Samuel,Samuel,11.32727259,11,7100,TB@SF,SF,TB,4,,,,,,WR/FLEX
2999102786,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-62239,84373-63759,84373-64401,84373-56018,84373-90576,84373-94534,84373-86244,84373-40167,84373-12532,,84373-70051:Tyler Huntley,84373-70051,QB,Tyler,Tyler Huntley,Huntley,16.57999992,1,7000,BAL@PIT,BAL,PIT,1,,,,,,QB
2999102788,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-22038,84373-71845,84373-91598,84373-114180,84373-40647,84373-86631,84373-71706,84373-39280,84373-12547,,84373-90576:DeVonta Smith,84373-90576,WR,DeVonta,DeVonta Smith,Smith,10.29999987,12,7000,PHI@NYG,PHI,NYG,1,,,,,,WR/FLEX
2999102789,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-85607,84373-137902,84373-52922,84373-85671,84373-86631,84373-94534,84373-71706,84373-40647,84373-12547,,84373-45631:Jamaal Williams,84373-45631,RB,Jamaal,Jamaal Williams,Williams,14.09166718,12,7000,MIN@DET,DET,MIN,1,,,,,,RB/FLEX
2999102791,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-69531,84373-64401,84373-86055,84373-111631,84373-25079,84373-63043,84373-69451,84373-54140,84373-12529,,84373-54879:Deshaun Watson,84373-54879,QB,Deshaun,Deshaun Watson,Watson,6.340000153,1,7000,CLE@CIN,CLE,CIN,1,,,,,,QB
2999102793,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-62239,84373-39280,84373-54140,84373-25079,84373-25813,84373-56248,84373-60451,84373-103252,84373-12540,,84373-32384:Mike Evans,84373-32384,WR,Mike,Mike Evans,Evans,11.05454532,11,7000,TB@SF,TB,SF,4,,,,,,WR/FLEX
2999102795,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-26483,84373-103252,84373-39280,84373-52917,84373-55987,84373-63043,84373-71705,84373-25079,84373-12555,,84373-63519:Daniel Jones,84373-63519,QB,Daniel,Daniel Jones,Jones,17.23333359,12,6900,PHI@NYG,NYG,PHI,1,,,,,,QB
2999102796,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-62239,84373-39280,84373-55050,84373-112062,84373-72846,84373-93055,84373-64585,84373-103252,84373-12529,,84373-55830:D'Onta Foreman,84373-55830,RB,D'Onta,D'Onta Foreman,Foreman,7.890909368,11,6900,CAR@SEA,CAR,SEA,4,,,,,,RB/FLEX
2999102798,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-62239,84373-55050,84373-63759,84373-25079,84373-61042,84373-90576,84373-93143,84373-103564,84373-12532,,84373-63043:DJ Moore,84373-63043,WR,DJ,DJ Moore,Moore,9.28333346,12,6900,CAR@SEA,CAR,SEA,4,,,,,,WR/FLEX
2999102800,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-62239,84373-63759,84373-86055,84373-63043,84373-86631,84373-94534,84373-91931,84373-55987,84373-12547,,84373-57403:Courtland Sutton,84373-57403,WR,Courtland,Courtland Sutton,Sutton,8.441666921,12,6800,KC@DEN,DEN,KC,4,O,Hamstring,,,,WR/FLEX
2999102802,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-62239,84373-71444,84373-86055,84373-25079,84373-69956,84373-88575,84373-52436,84373-39280,84373-12529,,84373-52436:Mark Andrews,84373-52436,TE,Mark,Mark Andrews,Andrews,11.472727,11,6800,BAL@PIT,BAL,PIT,1,,,,,,TE/FLEX
2999102804,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-62239,84373-39280,84373-87467,84373-89981,84373-90576,84373-91426,84373-64585,84373-52917,84373-12530,,84373-40534:Mike White,84373-40534,QB,Mike,Mike White,White,22.12999916,2,6800,NYJ@BUF,NYJ,BUF,1,,,,,,QB
2999102805,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-22015,84373-52922,84373-64401,84373-55987,84373-85671,84373-94534,84373-91931,84373-52917,84373-12530,,84373-137902:Rachaad White,84373-137902,RB,Rachaad,Rachaad White,White,6.583333333,12,6800,TB@SF,TB,SF,4,,,,,,RB/FLEX
2999102807,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-62239,84373-55050,84373-71845,84373-53097,84373-53639,84373-85671,84373-86244,84373-40167,84373-12529,,84373-52922:Leonard Fournette,84373-52922,RB,Leonard,Leonard Fournette,Fournette,13.20909119,11,6800,TB@SF,TB,SF,4,Q,Foot,,,,RB/FLEX
2999102809,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-54879,84373-39280,84373-63759,84373-39716,84373-89981,84373-91426,84373-88297,84373-34331,84373-12530,,84373-21948:Ryan Tannehill,84373-21948,QB,Ryan,Ryan Tannehill,Tannehill,13.67799988,10,6700,JAC@TEN,TEN,JAC,1,,,,,,QB
2999102810,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-22038,84373-39280,84373-52922,84373-52917,84373-86997,84373-91426,84373-71706,84373-40647,84373-12547,,84373-90575:Najee Harris,84373-90575,RB,Najee,Najee Harris,Harris,10.92166646,12,6700,BAL@PIT,PIT,BAL,1,,,,,,RB/FLEX
2999102811,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-92020,84373-55050,84373-64401,84373-55987,84373-72846,84373-94534,84373-86244,84373-39716,84373-12529,,84373-85798:Brandon Aiyuk,84373-85798,WR,Brandon,Brandon Aiyuk,Aiyuk,11.04166667,12,6700,TB@SF,SF,TB,4,,,,,,WR/FLEX
2999102812,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-92020,84373-39280,84373-86055,84373-63043,84373-73048,84373-85672,84373-86244,84373-52436,84373-12526,,84373-63589:Sam Darnold,84373-63589,QB,Sam,Sam Darnold,Darnold,16.86000061,1,6600,CAR@SEA,CAR,SEA,4,,,,,,QB
2999102814,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-69531,84373-39280,84373-86055,84373-61042,84373-86631,84373-90576,84373-71705,84373-110246,84373-12547,,84373-55987:JuJu Smith-Schuster,84373-55987,WR,JuJu,JuJu Smith-Schuster,Smith-Schuster,9.527273005,11,6600,KC@DEN,KC,DEN,4,,,,,,WR/FLEX
2999102816,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-38435,84373-55050,84373-86055,84373-61042,84373-85671,84373-86997,84373-71706,84373-40126,84373-12543,,84373-92020:Kenny Pickett,84373-92020,QB,Kenny,Kenny Pickett,Pickett,13.19777764,9,6600,BAL@PIT,PIT,BAL,1,,,,,,QB
2999102818,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-21948,84373-39280,84373-63759,84373-41305,84373-52917,84373-56018,84373-91931,84373-25079,84373-12547,,84373-70603:Devin Singletary,84373-70603,RB,Devin,Devin Singletary,Singletary,10.36666679,12,6600,NYJ@BUF,BUF,NYJ,1,,,,,,RB/FLEX
2999102820,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-54879,84373-39280,84373-63759,84373-40669,84373-52917,84373-85701,84373-86244,84373-39716,84373-12547,,84373-71706:T.J. Hockenson,84373-71706,TE,T.J.,T.J. Hockenson,Hockenson,9.666666667,12,6500,MIN@DET,MIN,DET,1,,,,,,TE/FLEX
2999102821,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-22015,84373-52442,84373-92575,84373-85798,84373-86631,84373-91426,84373-91931,84373-41305,84373-12526,,84373-86055:Dameon Pierce,84373-86055,RB,Dameon,Dameon Pierce,Pierce,11.63333384,12,6500,HOU@DAL,HOU,DAL,1,,,,,,RB/FLEX
2999102823,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-38435,84373-64401,84373-71444,84373-85671,84373-86997,84373-91426,84373-65182,84373-39716,84373-12547,,84373-54604:Jimmy Garoppolo,84373-54604,QB,Jimmy,Jimmy Garoppolo,Garoppolo,15.34363625,11,6500,TB@SF,SF,TB,4,O,Foot,,,,QB
2999102824,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-89951,84373-137902,84373-39280,84373-56018,84373-60858,84373-85701,84373-88297,84373-52917,84373-12532,,84373-90561:Jerry Jeudy,84373-90561,WR,Jerry,Jerry Jeudy,Jeudy,8.65,10,6500,KC@DEN,DEN,KC,4,,,,,,WR/FLEX
2999102826,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-62239,84373-64401,84373-86055,84373-25079,84373-53390,84373-69956,84373-64585,84373-38791,84373-12534,,84373-66008:Diontae Johnson,84373-66008,WR,Diontae,Diontae Johnson,Johnson,7.608333588,12,6500,BAL@PIT,PIT,BAL,1,,,,,,WR/FLEX
2999102828,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-63519,84373-86055,84373-91598,84373-73687,84373-90576,84373-93055,84373-33076,84373-39280,84373-12528,,84373-22015:Russell Wilson,84373-22015,QB,Russell,Russell Wilson,Wilson,13.6109092,11,6500,KC@DEN,DEN,KC,4,,,,,,QB
2999102829,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-57439,84373-39280,84373-64401,84373-39716,84373-63855,84373-86997,84373-93143,84373-91931,84373-12547,,84373-85607:Brock Purdy,84373-85607,QB,Brock,Brock Purdy,Purdy,4.309999943,4,6500,TB@SF,SF,TB,4,,,,,,QB
2999102831,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-26483,84373-52442,84373-55830,84373-32384,84373-85701,84373-89981,84373-71705,84373-25813,84373-12532,,84373-39716:Adam Thielen,84373-39716,WR,Adam,Adam Thielen,Thielen,8.833333333,12,6400,MIN@DET,MIN,DET,1,,,,,,WR/FLEX
2999102833,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-38435,84373-54140,84373-86055,84373-64389,84373-86997,84373-87859,84373-71706,84373-38791,84373-12551,,84373-63819:Darius Slayton,84373-63819,WR,Darius,Darius Slayton,Slayton,9.455555386,9,6300,PHI@NYG,NYG,PHI,1,,,,,,WR/FLEX
2999102835,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-26483,84373-55050,84373-89956,84373-66008,84373-73048,84373-94534,84373-91931,84373-63043,84373-12529,,84373-41305:Zay Jones,84373-41305,WR,Zay,Zay Jones,Jones,8.900000139,11,6300,JAC@TEN,JAC,TEN,1,Q,Chest,,,,WR/FLEX
2999102836,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-62239,84373-64401,84373-93539,84373-40669,84373-52917,84373-55987,84373-60451,84373-25079,84373-12530,,84373-93539:Michael Carter,84373-93539,RB,Michael,Michael Carter,Carter,8.172727411,11,6300,NYJ@BUF,NYJ,BUF,1,,,,,,RB/FLEX
2999102839,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-22038,84373-58041,84373-91598,84373-85701,84373-91426,84373-94534,84373-71706,84373-103564,84373-12530,,84373-89628:Davis Mills,84373-89628,QB,Davis,Davis Mills,Mills,12.65599976,10,6300,HOU@DAL,HOU,DAL,1,,,,,,QB
2999102840,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-69531,84373-63759,84373-86055,84373-103564,84373-40647,84373-69956,84373-91931,84373-39280,84373-12547,,84373-110246:George Pickens,84373-110246,WR,George,George Pickens,Pickens,7.674999873,12,6300,BAL@PIT,PIT,BAL,1,,,,,,WR/FLEX
2999102842,84373-261104690,$25K Sun NFL Pooch Punt (150 Entries Max),84373-22038,84373-63759,84373-71845,84373-39716,84373-53097,84373-86997,84373-40126,84373-55050,84373-12547,,84373-103252:Zonovan Knight,84373-103252,RB,Zonovan,Zonovan Knight,Knight,13.05000019,2,6300,NYJ@BUF,NYJ,BUF,1,,,,,,RB/FLEX
